Program_Combo,ID,Count
"A55180 - Criminal Justice Technology, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert","['1112864', '1150656', '1185898', '1189460', '1226622', '141062', '1418676', '1458073', '1532790', '1570614', '1756362', '180076', '181048', '184076', '185093', '2436844', '2507974', '2514919', '2530461', '2531496', '2545128', '2545730', '2549390', '2557620', '2564365', '2566869', '2571488', '2572187', '2575327', '2583011', '2583905', '2585241', '2590322', '2607879', '2607987', '2613611', '2613786', '2614167', '2621402', '2622018', '2622520', '2637634', '2637705', '2640859', '2642374', '2644373', '2648171', '2653563', '2658048', '2659500', '2674627', '2674853', '2682628', '2693698', '2698315', '2725074', '2725781', '2733177', '2736996', '2741086', '2746576', '2748186', '2750587', '2758049', '2776239', '2779018', '2780163', '2780759', '2783208', '2784453', '2785477', '2785518', '2789352', '2801610', '2803715', '2805564', '2808427', '2819404', '2822273', '2823376', '2825738', '2828913', '2835207', '2837773', '2843663', '2843698', '2850729', '2852824', '2852951', '2853588', '2857636', '2863264', '2863553', '2866017', '2866546', '2867076', '2867123', '2871553', '2877580', '2878000', '2879069', '2880418', '2882924', '2887096', '2891304', '2892835', '2894442', '2895201', '2895217', '2895705', '2899414', '2899642', '2900707', '2901165', '2904959', '2906780', '2908805', '2910154', '2911975', '2913164', '2918304', '2918910', '2919003', '2923087', '2924193', '2924436', '2925122', '2927623', '2928653', '2929437', '2934959', '2936696', '2937389', '2937674', '2939620', '2940286', '2941709', '2942435', '2942686', '2942884', '2943534', '2943814', '2944477', '2946324', '2947486', '2947531', '2948211', '2949112', '2949469', '2949932', '2949980', '2950017', '2951459', '2951752', '2951769', '2952224', '2953393', '2954373', '2954978', '2955323', '2955804', '2955893', '2956277', '2956512', '2956613', '2956930', '2957378', '2958421', '2958652', '2958788', '2959599', '2960319', '2960362', '2960478', '2961753', '2962407', '2962627', '2962883', '2963081', '2963166', '2963358', '2964232', '2964928', '2965875', '2965900', '2966112', '2966205', '2966768', '2968930', '2968935', '2968936', '2968938', '2969179', '2969335', '2969809', '2970013', '2970089', '2970175', '2970341', '2971761', '2972651', '2972896', '2973900', '2973933', '2974267', '2974450', '2974505', '2975095', '2975743', '2976988', '2977072', '2977283', '2978040', '2980543', '2980610', '2980904', '2981537', '2982105', '2982323', '2982843', '2983842', '2984064', '2985599', '2985848', '2986081', '2986288', '2986441', '2986899', '2987552', '2987651', '2987684', '2989809', '2989956', '2991374', '2991554', '2992340', '2992365', '2992410', '2992441', '2992839', '2992915', '2992951', '2993537', '2994877', '2995069', '2995434', '2995525', '2995914', '2996635', '2996661', '2996714', '2996762', '2997299', '2997996', '2998318', '2998350', '2999706', '2999710', '2999726', '3000353', '3000766', '3000841', '3000878', '3001482', '3002303', '3003374', '3003377', '3003542', '3004814', '3004899', '3005411', '3005431', '3006143', '3006375', '3006409', '3006465', '3006573', '3007011', '3007083', '3007231', '3007277', '3007332', '3007474', '3008125', '3008511', '3009233', '3009664', '3009870', '3009880', '3009960', '3010086', '3010334', '3010931', '3011454', '3012279', '3012414', '3012738', '3012786', '3012812', '3012935', '3013189', '3013330', '3013521', '3013749', '3013817', '3015008', '3015152', '3017050', '3017121', '3021059', '373951', '408050', '442445', '445906', '447297', '597069', '656230', '657973', '696496', '733268', '809650', '849602', '922253', '925316', '960263']",325
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate","['1033656', '1078551', '108705', '1111002', '1187978', '1188138', '1264725', '1304528', '1379308', '1382878', '1418978', '1530315', '1569590', '1607754', '1646591', '179648', '179686', '220069', '2478036', '2484136', '2488569', '2490854', '2493992', '2508600', '2511806', '2514757', '2515447', '2518582', '2543027', '2550261', '2552908', '2556936', '2560950', '2570306', '2572931', '2582294', '2590552', '2591818', '2596193', '2605138', '2605920', '2608411', '2610902', '2615357', '2623660', '2624170', '2631636', '2638868', '2643184', '2656938', '2657048', '2657146', '2663138', '2670235', '2672879', '2673562', '2681286', '2685052', '2691309', '2709481', '2715596', '2731102', '2737146', '2746801', '2762726', '2766585', '2772824', '2775235', '2788262', '2789403', '2791733', '2812120', '2814296', '2817501', '2818088', '2828598', '2829209', '2834479', '2835560', '2836628', '2838221', '2841758', '2842084', '2842241', '2846210', '2850017', '2850607', '2860494', '2869896', '2871096', '2872607', '2872660', '2874770', '2874954', '2874975', '2876793', '2880811', '2881254', '2881382', '2882506', '2882962', '2894038', '2895146', '2896774', '2897262', '2899236', '2899848', '2900093', '2900268', '2905657', '2908609', '2908791', '2908921', '2911714', '2912735', '2912916', '2913080', '2913522', '2915032', '2916314', '2917341', '2919424', '2924794', '2925559', '2935370', '2937499', '2939946', '2940840', '2941224', '2941675', '2942423', '2945667', '2946177', '2946549', '2949130', '2952337', '2954275', '2955123', '2955133', '2955820', '2959728', '2961557', '2961571', '2962192', '2962731', '2963755', '2963785', '2964387', '2966568', '2970024', '2973633', '2973988', '2974319', '2974569', '2975961', '2977534', '2980793', '2981331', '2982501', '2982945', '2983039', '2983148', '2983675', '2984310', '2984334', '2985575', '2985950', '2986574', '2987966', '2988039', '2989085', '2991097', '2991142', '2991456', '2991747', '2991764', '2992632', '2993553', '2993873', '2993975', '2995064', '2995097', '2995156', '2996813', '2999508', '2999611', '2999618', '2999646', '2999793', '3000118', '3000142', '3000143', '3000314', '3000342', '3000345', '3001226', '3001497', '3001596', '3001609', '3002061', '3002309', '3002330', '3002375', '3003056', '3003095', '3003194', '3003291', '3003536', '3004393', '3004530', '3004678', '3004936', '3005774', '3005867', '3005921', '3006497', '3006684', '3007172', '3007477', '3008094', '3008267', '3008292', '3008331', '3008429', '3008480', '3008513', '3008663', '3008744', '3008782', '3008846', '3009110', '3009133', '3009698', '3009744', '3009811', '3010498', '3010725', '3011042', '3011058', '3011733', '3011875', '3012117', '3012124', '3012331', '3012758', '3012765', '3013329', '3013348', '3013652', '3014347', '3015138', '3015607', '3015648', '3016280', '3016500', '3016576', '3017639', '3017822', '3018760', '3018785', '3018869', '3019211', '521157', '557570', '558921', '561439', '695030', '845293']",268
"A1030N - Associate in General Education-Nursing, A45110 - Associate Degree Nursing","['107692', '1230558', '1496249', '1531097', '2474546', '2474656', '2503040', '2509777', '2521313', '2523692', '2526169', '2536040', '2546198', '2555813', '2577532', '2578280', '2594619', '2595200', '2603957', '2632611', '2638216', '2655622', '2656061', '2658936', '2673647', '2678710', '2683686', '2695458', '2698131', '2718809', '2719078', '2722331', '2724582', '2729155', '2731803', '2732720', '2746754', '2754291', '2754293', '2758535', '2759409', '2760954', '2762543', '2769393', '2781742', '2785561', '2792324', '2794968', '2802194', '2806089', '2809201', '2815433', '2816991', '2817558', '2821269', '2823292', '2826163', '2828599', '2831790', '2836826', '2838395', '2838941', '2839024', '2844919', '2851226', '2853436', '2854793', '2854932', '2860493', '2861278', '2862218', '2862365', '2862687', '2863994', '2866233', '2866880', '2868263', '2868577', '2868872', '2871040', '2872180', '2873924', '2875557', '2878131', '2878331', '2880183', '2884538', '2884550', '2885426', '2886287', '2887716', '2891107', '2891254', '2892503', '2892881', '2894676', '2897712', '2900358', '2901434', '2901847', '2903237', '2903460', '2904287', '2906203', '2910674', '2912458', '2917968', '2918078', '2918460', '2919994', '2922619', '2923231', '2923249', '2923468', '2923804', '2923805', '2924715', '2925482', '2928398', '2928790', '2929879', '2930143', '2931185', '2934485', '2934558', '2935267', '2936218', '2937166', '2938830', '2939057', '2940444', '2940662', '2940930', '2941261', '2941834', '2942927', '2943331', '2945177', '2947249', '2947742', '2948740', '2949440', '2949640', '2950300', '2950467', '2951007', '2951374', '2952098', '2952223', '2952933', '2953013', '2953231', '2953509', '2953923', '2954832', '2954928', '2955064', '2955113', '2955488', '2955965', '2956486', '2956946', '2957505', '2958015', '2958779', '2959002', '2959297', '2959351', '2959460', '2960363', '2960760', '2960809', '2961271', '2961755', '2962020', '2962132', '2963613', '2963957', '2964173', '2964556', '2964782', '2964954', '2966255', '2966397', '2966546', '2966637', '2966740', '2966776', '2966876', '2966949', '2967813', '2968041', '2968586', '2970866', '2971170', '2972481', '2973045', '2973215', '2973216', '2973232', '2973501', '2973703', '2974292', '2974516', '2974732', '2975050', '2975710', '2975713', '2976384', '2976571', '2976786', '2977075', '2977112', '2978803', '2979616', '2979863', '2979944', '2980303', '2980704', '2981323', '2982035', '2983277', '2983863', '2984578', '2986063', '2986580', '2986674', '2987261', '2988375', '2988940', '2988980', '2989029', '2989896', '2990179', '2990353', '2990430', '2990768', '2991126', '2991371', '2994069', '2994901', '2995182', '2996144', '2996224', '2996735', '3001061', '3001933', '3002803', '3002870', '3003134', '3004588', '3005224', '3006566', '3008798', '333399', '561735', '656858', '731336', '772302', '77768', '883453', '998060', '998649']",263
"A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat","['106651', '1072501', '1072709', '108806', '1190784', '1227414', '1303905', '1382658', '1454750', '1454928', '1492076', '1492934', '1606766', '1642961', '179708', '184327', '2477919', '2482320', '2501104', '2513186', '2518060', '2520279', '2526509', '2526741', '2533367', '2538427', '2547137', '2555647', '2564289', '2565670', '2569858', '2572052', '2587472', '2589381', '2596957', '2609895', '2611151', '2612630', '2621850', '2643422', '2644205', '2650516', '2652747', '2657403', '2663828', '2666615', '2670929', '2678088', '2697034', '2707834', '2738018', '2744171', '2745701', '2747215', '2749731', '2752563', '2760481', '2761646', '2765544', '2770090', '2782133', '2782218', '2791896', '2792823', '2801779', '2810092', '2811558', '2811868', '2819620', '2821066', '2824147', '2825183', '2843173', '2844882', '2845109', '2848251', '2848399', '2854955', '2859380', '2861796', '2862202', '2868623', '2869829', '2880547', '2883192', '2887295', '2889992', '2893157', '2896681', '2897709', '2898895', '2898965', '2902851', '2905999', '2907179', '2908333', '2908610', '2914649', '2915706', '2917086', '2917803', '2919440', '2922767', '2924280', '2924460', '2930637', '2932123', '2934058', '2939239', '2939707', '2940797', '2941423', '2943177', '2952757', '2956899', '2961143', '2961319', '2961537', '2964058', '2964737', '2965537', '2969006', '2972461', '2973184', '2974348', '2975705', '2975982', '2976644', '2979389', '2979902', '2981806', '2983802', '2984484', '2986216', '2989046', '2989107', '2990393', '2991430', '2993604', '2996566', '2997043', '2997163', '2998021', '2998166', '2998830', '2999464', '2999622', '2999886', '3001599', '3001889', '3001936', '3002228', '3002834', '3003493', '3003881', '3005253', '3005857', '3006126', '3007806', '3008017', '3008239', '3008395', '3008402', '3008613', '3008916', '3009180', '3009252', '3009425', '3009565', '3009818', '3010913', '3011311', '3011641', '3011665', '3012205', '3012402', '3012866', '3012878', '3013162', '3013300', '3013560', '3013684', '3014330', '3014838', '3016875', '3018035', '3019427', '3019492', '3021377', '366402', '368201', '370158', '407294', '407570', '442139', '482210', '524993', '558033', '593509', '692319', '692747', '694757']",202
"A25590S - Information Technology/Systems Security & Analysis, C25590C21 - Information Technology/Network Defense Spec Certificate","['1453077', '1455701', '1494297', '1530669', '2481348', '2535887', '2537236', '2540719', '2582087', '2584040', '2603811', '2646104', '2648195', '2654107', '2661312', '2668209', '2684340', '2711361', '2715360', '2721707', '2748033', '2748364', '2751027', '2756570', '2760605', '2766549', '2777880', '2780223', '2788296', '2789495', '2790993', '2814765', '2816071', '2822112', '2824888', '2825695', '2830740', '2852534', '2860743', '2866571', '2871901', '2886013', '2892057', '2895322', '2896273', '2901358', '2901513', '2903033', '2904695', '2908402', '2923690', '2927301', '2933740', '2933829', '2941942', '2942246', '2942301', '2946080', '2947056', '2949458', '2951728', '2952115', '2954988', '2956923', '2958842', '2960047', '2962417', '2963465', '2964361', '2965232', '2966124', '2966422', '2967092', '2969693', '2972200', '2974174', '2974553', '2975753', '2976188', '2978499', '2980023', '2983245', '2989430', '2990075', '2990776', '2992047', '2992731', '2993274', '2993536', '2993586', '2994342', '2995173', '2995386', '2997530', '2997536', '2997608', '2998943', '2999663', '3001165', '3001310', '3001386', '3002023', '3002260', '3003756', '3003864', '3004172', '3004554', '3004940', '3005309', '3005340', '3005827', '3006277', '3006372', '3006443', '3007378', '3007722', '3007761', '3007951', '3008489', '3008519', '3009107', '3009186', '3009237', '3009361', '3009428', '3009441', '3009577', '3009624', '3009687', '3010058', '3010179', '3010750', '3010767', '3011170', '3012392', '3012755', '3014588', '3017172', '3018543', '3018758', '3019306', '3020400', '76942']",143
"A25120G - Business Administration /General Business Administration, C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert","['1034330', '1151063', '1186943', '2476925', '2510640', '2512633', '2513897', '2553250', '2567115', '2606949', '2650721', '2665214', '2667733', '2711955', '2719388', '2744481', '2745483', '2748155', '2764824', '2765526', '2779304', '2784181', '2787611', '2791470', '2791570', '2795332', '2805621', '2807907', '2811966', '2817781', '2822403', '2835001', '2840924', '2849803', '2851394', '2852302', '2875268', '2879223', '2880005', '2881284', '2889631', '2893647', '2895022', '2900205', '2903039', '2911088', '2914143', '2917213', '2917379', '2918386', '2930533', '2931998', '2937195', '2939854', '294023', '2941831', '2942198', '2943658', '2945052', '2945764', '2946241', '2947442', '2947765', '2951188', '2952775', '2956666', '2957072', '2962202', '2963256', '2965627', '2965896', '2967858', '2968648', '2969698', '2970255', '2970976', '2971084', '2971359', '2971398', '2971947', '2972505', '2972834', '2974186', '2974863', '2975128', '2975949', '2976500', '2978467', '2978842', '2979260', '2980333', '2981026', '2981290', '2981489', '2981920', '2981959', '2981979', '2982621', '2982768', '2982938', '2983050', '2983737', '2983834', '2984489', '2984577', '2986180', '2986450', '2988111', '2988377', '2988549', '2988582', '2988838', '2988854', '2989166', '2989795', '2989965', '2990512', '2991342', '2991671', '2992276', '2992390', '2992482', '2992487', '2992600', '2993003', '2993053', '2993222', '2995172', '2995199', '2995257', '2995674', '2995753', '2996225', '2996733', '2996828', '2997143', '2997324', '2997553', '2998129', '2998652', '408938', '559108']",142
"A25120H - Business Administration /Human Resources Management, C25120C10 - Business Administration /Business Foundations Certificate","['106123', '108041', '1186606', '1305481', '144720', '1571064', '2204163', '2439593', '2481768', '2485108', '2485842', '2492633', '2497858', '2513971', '2518271', '2520526', '2525590', '2567614', '2567811', '2582272', '2623562', '2623926', '2624964', '2628238', '2655272', '2655754', '2701736', '2714629', '2717930', '2729449', '2734562', '2738760', '2743366', '2745939', '2746816', '2751997', '2757395', '2759634', '2760944', '2765141', '2767448', '2773458', '2782715', '2790408', '2801590', '2802019', '2806833', '2816345', '2826259', '2830175', '2836321', '2836901', '2839234', '2840313', '2880184', '2881796', '2883643', '2883811', '2892620', '2893375', '2897551', '2907928', '2909421', '2913539', '2923652', '2933630', '2936071', '2948482', '2949233', '2950860', '2954717', '2957585', '2961086', '2965132', '2966072', '2968016', '2969200', '2969535', '2971031', '2971450', '2973563', '2973939', '2974111', '2974411', '2974511', '2978348', '2979820', '2983775', '2984473', '2985998', '2987958', '2989348', '2992004', '2992077', '2995662', '2995854', '2996107', '2997589', '2998174', '2998520', '2999902', '3000000', '3000303', '3000844', '3002454', '3002569', '3004478', '3004868', '3005052', '3005197', '3006127', '3006720', '3007387', '3007492', '3007696', '3008115', '3008403', '3008821', '3011480', '3014359', '3014414', '3016471', '3017284', '3017957', '3017968', '3018284', '3018582', '3019771', '3020704', '3021374', '3021559', '562090', '658466', '694421', '696216', '773431', '775245', '920762', '923514', '960251', '998633']",141
"A35100 - Air Conditioning, Heating & Refrigeration Technology, C35100 - Basic A/C, Heating & Refrigeration","['1344754', '1418305', '144310', '1644738', '1648948', '217573', '2485312', '2491380', '2503518', '2515760', '2553923', '2572470', '2595854', '2597307', '2609755', '2612940', '2633039', '2673830', '2682437', '2685483', '2695590', '2698596', '2716740', '2717235', '2725902', '2728606', '2731738', '2757412', '2783526', '2789984', '2791156', '2806995', '2811936', '2824234', '2825364', '2828653', '2861421', '2866986', '2886710', '2894293', '2896920', '2902823', '2908581', '2919289', '2926125', '2930883', '2932852', '2936317', '2941999', '2948594', '2954926', '2958535', '2963304', '2966069', '2974248', '2974333', '2975744', '2975826', '2978192', '2980334', '2981705', '2981938', '2983415', '2983579', '2986107', '2987486', '2987960', '2987969', '2987972', '2988151', '2988290', '2990917', '2991041', '2991220', '2991497', '2991732', '2992202', '2992403', '2992726', '2992816', '2993034', '2993227', '2994056', '2995209', '2995451', '2995507', '2996398', '2997403', '2998553', '2998586', '2998629', '2999145', '2999973', '2999982', '3000326', '3000834', '3000835', '3001073', '3001248', '3002378', '3003916', '3004461', '3005850', '3006322', '3006353', '3006929', '3007379', '3007394', '3008075', '3008780', '3008879', '3009025', '3009077', '3009993', '3010676', '3010693', '3010745', '3011064', '3011248', '3011854', '3016008', '3016336', '3016856', '3017271', '3018332', '3019743', '3020541', '333445', '518815', '846437', '847085']",131
"A55220G - Early Childhood Education/General Early Childhood Education, C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool","['105627', '107197', '1148940', '1186822', '1454624', '1604721', '2486212', '2492914', '2502786', '2509675', '2511781', '2515250', '2526360', '2527504', '2537260', '2538874', '2551175', '2553804', '2562111', '2579856', '2586450', '2592603', '2594087', '2597250', '2607073', '2616261', '2641975', '2664602', '2683256', '2687303', '2698327', '2701206', '2706208', '2716539', '2717361', '2726534', '2734558', '2751271', '2759445', '2759724', '2764276', '2766796', '2773017', '2779911', '2781112', '2787492', '2789247', '2812831', '2818224', '2819150', '2823368', '2824440', '2824486', '2830813', '2841391', '2851318', '2854579', '2863267', '2865733', '2876474', '2893548', '2897014', '2901609', '2910187', '2911299', '2915496', '2917568', '2920439', '2923622', '2927481', '2928697', '2936597', '2937492', '2938983', '2941306', '2943629', '2946219', '2946420', '2946503', '2948469', '2952497', '2955855', '2956539', '2957349', '2957521', '2958032', '2959417', '2959657', '2961440', '2961997', '2962437', '2962597', '2962981', '2965143', '2966986', '2967447', '2969133', '2970980', '2971169', '2974680', '2976496', '2977463', '2978562', '2980725', '2981900', '2983372', '2987277', '2987881', '2988064', '2988580', '2988887', '2989008', '2989188', '2991057', '2992221', '2994684', '2995163', '2995971', '2996987', '2998145', '367600', '692414', '695005', '732776', '733478', '770377', '957185', '960365']",128
"A60160 - Automotive Systems Technology, C60160C6 - Automotive Systems Technology/Maint & Light Repair I Cert, C60160C7 - Automotive Systems Technology/Maint & Light Repair II Cert","['2510197', '2559787', '2580989', '2582616', '2596175', '2596347', '2612595', '2619907', '2651919', '2659573', '2677233', '2696232', '2711305', '2736253', '2737763', '2790635', '2819963', '2822584', '2823501', '2870775', '2878643', '2881805', '2897021', '2905002', '2911380', '2939826', '2940166', '2940182', '2942627', '2943424', '2947162', '2948476', '2950834', '2952992', '2953487', '2953508', '2956454', '2961811', '2961882', '2965679', '2966479', '2967633', '2969848', '2970958', '2971984', '2974474', '2975441', '2984071', '2985317', '2985361', '2985379', '2986299', '2986618', '2986906', '2987241', '2987445', '2988367', '2988814', '2989229', '2989240', '2989407', '2989894', '2990079', '2990101', '2990451', '2990557', '2991571', '2992199', '2992343', '2993244', '2993255', '2993332', '2993628', '2993649', '2993828', '2994270', '2994355', '2995096', '2995621', '2997598', '2997702', '2997950', '2998024', '2998307', '2998473', '2998524', '2998625', '2998637', '2999253', '2999452', '2999856', '3000084', '3000241', '3001322', '3005402', '3005465', '3005583', '3005591', '3005773', '3005845', '3006571', '3006615', '3006705', '3006745', '3007476', '3007502', '3008860', '3008907', '3009100', '3009218', '3009241', '3010121', '3010344', '3010520', '3010937', '3012614', '3014270', '3016247', '3016889', '3017778', '3020619', '3021320', '411503', '445288', '692878', '845160']",126
